Sector,Economy,DJT07095,RBF1150,BMO31146,BMO31242,CIG11098,RBF1490,GOC33044
Financial Services, 33.6 , 27.6 , 36.0 , 38.8 , 39.6 , 36.1 , 35.8 , 18.0 
Energy, 13.0 , 7.8 , 14.7 , 12.4 , 11.0 , 4.6 , 14.7 , 9.3 
Industrials, 10.0 , 17.7 , 15.8 , 11.0 , 12.3 , 10.1 , 15.7 , 10.9 
Comm Services, 8.5 , 0.0 , 6.9 , 4.4 , 4.0 , 4.4 , 7.2 , 7.4 
Utilities, 8.0 , 0.0 , 3.6 , 12.1 , 10.7 , 4.1 , 4.0 , 12.9 
Cons Defensive, 6.1 , 14.5 , 5.5 , 3.9 , 4.0 , 5.2 , 5.2 , 4.4 
Technology, 4.7 , 12.5 , 4.1 , 7.1 , 8.0 , 12.6 , 4.1 , 7.0 
Basic Materials, 4.2 , 3.0 , 7.9 , 0   , 0   , 0  , 7.8 , 7.3 
Real Estate, 4.1 , 0.8 , 3.4 , 6.0 , 6.0 , 5.7 , 3.2 , 10.7 
Healthcare, 4.0 , 7.1 , 0   , 2.1 , 1.9 , 6.3 , 0   , 4.2 
Cons Cyclical, 3.9 , 9.0 , 2.2 , 2.3 , 2.6 , 11.0 , 2.4 , 8.0 